date,total_trips,percentage_within_15min,percentage_15_to_30min,percentage_above30min,percentage_Customer,percentage_Subscriber,percentage_Female,percentage_Male
2019-09-07,67777,0.6050725172256075,0.28428522950263363,0.11064225327175886,0.1750593859273795,0.8249406140726205,0.3137495020434661,0.6862504979565339
2019-09-08,63454,0.6282976644498377,0.27051092129731774,0.10119141425284459,0.17125791912251395,0.828742080877486,0.31432218615059726,0.6856778138494027
2019-09-09,79281,0.6824838233624702,0.24596057062852386,0.07155560600900594,0.07960293134546739,0.9203970686545326,0.26828622242403605,0.7317137775759639
2019-09-10,81909,0.6944291836061971,0.23963178649476857,0.06593902989903429,0.07167710508002784,0.9283228949199722,0.2663199404216875,0.7336800595783125
2019-09-11,84809,0.6874506243441144,0.24424294591375914,0.06830642974212643,0.07817566531853931,0.9218243346814607,0.2701835890058838,0.7298164109941162
2019-09-12,66438,0.7309220626749752,0.21382341431108703,0.05525452301393781,0.06579066197055902,0.934209338029441,0.2534242451609019,0.7465757548390981
2019-09-13,81727,0.6854894955155579,0.24449692268161072,0.07001358180283138,0.09463212891700418,0.9053678710829959,0.25957150023859926,0.7404284997614008
2019-09-14,66096,0.626755022996853,0.274358508835633,0.09888646816751392,0.17208303074316147,0.8279169692568386,0.30912611958363595,0.6908738804163641
2019-09-15,68331,0.6018937232003044,0.2856097525281351,0.1124965242715605,0.17901099061919187,0.8209890093808081,0.31536198797032094,0.6846380120296791
2019-09-16,76576,0.6951133514417049,0.23987933556205598,0.06500731299623903,0.0828458002507313,0.9171541997492687,0.26406445883827834,0.7359355411617217
2019-09-17,87555,0.6831705784935184,0.24601678944663355,0.0708126320598481,0.08039518017246303,0.919604819827537,0.27009308434698187,0.7299069156530181
2019-09-18,84996,0.6927855428490752,0.24137606475598852,0.06583839239493623,0.07890959574568215,0.9210904042543179,0.26627135394606805,0.733728646053932
2019-09-19,83929,0.6963862312192448,0.23889239714520608,0.0647213716355491,0.0768506714008269,0.9231493285991731,0.266308427361222,0.733691572638778
2019-09-20,83866,0.6644170462404312,0.2576133355591062,0.07796961820046264,0.0995278181861541,0.9004721818138459,0.27113490568287507,0.7288650943171249
2019-09-21,88429,0.5461895984349026,0.340352146920128,0.1134582546449694,0.3461534112112542,0.6538465887887458,0.339424849314139,0.660575150685861
2019-09-22,66334,0.5992703590918684,0.28555491904603975,0.11517472186209184,0.1973347001537673,0.8026652998462327,0.3173937950372358,0.6826062049627641
2019-09-23,80168,0.6765292884941623,0.249064464624289,0.07440624688154875,0.08498403352958786,0.9150159664704122,0.267538169843329,0.732461830156671
2019-09-24,87575,0.6828204396231802,0.24726234656009136,0.06991721381672852,0.08060519554667428,0.9193948044533258,0.2688210105623751,0.7311789894376248
2019-09-25,88478,0.6816044666470761,0.24968918827279096,0.06870634508013292,0.07960170889938742,0.9203982911006126,0.2714799159113,0.7285200840887001
2019-09-26,79777,0.7052032540707222,0.2337014427717262,0.06109530315755168,0.07930857264625142,0.9206914273537485,0.25914737330308235,0.7408526266969176
2019-09-27,86109,0.6812412175266233,0.24697766783959865,0.07178111463377812,0.10325285394093532,0.8967471460590647,0.2658723246118292,0.7341276753881708
2019-09-28,70852,0.6021001524304184,0.28850279455766953,0.10939705301191216,0.19522384689211314,0.8047761531078869,0.31236944616948004,0.68763055383052
2019-09-29,65237,0.6140073884452075,0.2791820592608489,0.10681055229394362,0.19498137559973636,0.8050186244002636,0.31945061851403345,0.6805493814859666
2019-09-30,71077,0.7102438200824458,0.22794996975111498,0.06180621016643922,0.08625856465523306,0.9137414353447669,0.2658243876359441,0.7341756123640559
2019-10-01,81567,0.6961393700883935,0.2378167641325536,0.0660438657790528,0.07976264911054716,0.9202373508894528,0.26841737467358123,0.7315826253264188
2019-10-02,74989,0.7149848644467856,0.22587312805878196,0.05914200749443252,0.07271733187534171,0.9272826681246583,0.2631585965941671,0.7368414034058328
2019-10-03,37375,0.779505016722408,0.18022742474916387,0.040267558528428095,0.04837458193979933,0.9516254180602006,0.22557859531772576,0.7744214046822743
2019-10-04,77930,0.7026049018349801,0.23390221994097266,0.06349287822404723,0.08780957269344283,0.9121904273065572,0.26312074939047864,0.7368792506095214
2019-10-05,60575,0.6463557573256293,0.2609162195625258,0.09272802311184482,0.16389599669830787,0.8361040033016921,0.30669418076764343,0.6933058192323566
2019-10-06,53384,0.6591488086317998,0.256762325790499,0.08408886557770118,0.1516371946650682,0.8483628053349318,0.3016072231380189,0.6983927768619811
2019-10-07,72647,0.7047916637989181,0.2336503916197503,0.061557944581331646,0.07101463240051206,0.9289853675994879,0.26228199375060224,0.7377180062493978
2019-10-08,76173,0.7264778858650703,0.21830569886967824,0.055216415265251464,0.06409095086185394,0.9359090491381461,0.2572039961666207,0.7427960038333793
2019-10-09,48561,0.7693004674533062,0.18803154795000104,0.04266798459669282,0.04703362780832355,0.9529663721916765,0.23858652004695124,0.7614134799530488
2019-10-10,79757,0.7162004588938902,0.22450693982973283,0.059292601276377,0.06791880336522187,0.9320811966347782,0.2562784457790539,0.7437215542209461
2019-10-11,74164,0.7195944123833666,0.2216978587994175,0.0587077288172159,0.08061862898441292,0.919381371015587,0.25535300145623213,0.7446469985437678
2019-10-12,61006,0.6236599678720126,0.27708749959020423,0.09925253253778317,0.1898501786709504,0.8101498213290496,0.3014949349244337,0.6985050650755663
2019-10-13,57290,0.6176819689300053,0.27671495898062487,0.10560307208936988,0.19537441089195323,0.8046255891080468,0.30808168964915345,0.6919183103508466
2019-10-14,70374,0.6858498877426322,0.24227697729275016,0.07187313496461761,0.11551141046409186,0.8844885895359081,0.2745189984937619,0.7254810015062381
2019-10-15,78268,0.7108652322788368,0.23065620687892882,0.05847856084223437,0.07337609240047017,0.9266239075995298,0.2632621250063883,0.7367378749936118
2019-10-16,42014,0.7505355357737897,0.1996239348788499,0.049840529347360406,0.05438663302708621,0.9456133669729138,0.25105917075260625,0.7489408292473938
2019-10-17,64014,0.7379010841378448,0.2113443934139407,0.050754522448214455,0.058799637579279536,0.9412003624207205,0.2370731402505702,0.7629268597494299
2019-10-18,68885,0.7281701386368585,0.216970312840241,0.05485954852290049,0.07788342890324454,0.9221165710967555,0.24980765043187922,0.7501923495681208
2019-10-19,58685,0.6427025645394905,0.26178750958507285,0.09550992587543665,0.16975377012865298,0.830246229871347,0.3034847064837693,0.6965152935162306
2019-10-20,25991,0.7257512215766996,0.20826439921511292,0.06598437920818745,0.12138817282905622,0.8786118271709438,0.27213266130583663,0.7278673386941634
2019-10-21,73146,0.6955130834221968,0.23677302928389796,0.06771388729390534,0.07627211330763131,0.9237278866923687,0.2629125311021792,0.7370874688978208
2019-10-22,52372,0.7539524936989231,0.2003742457801879,0.04567326052088903,0.047964561215916905,0.9520354387840831,0.25013365920721,0.74986634079279
2019-10-23,75881,0.6985806723685771,0.23701585377103623,0.06440347386038665,0.06649886005719481,0.9335011399428051,0.25897128398413305,0.741028716015867
2019-10-24,77969,0.7028819146070874,0.233105464992497,0.06401262040041555,0.07511959881491362,0.9248804011850864,0.2596801292821506,0.7403198707178493
2019-10-25,75490,0.7036958537554643,0.23334216452510267,0.06296198171943304,0.0843422969929792,0.9156577030070208,0.25861703536892305,0.741382964631077
2019-10-26,59956,0.644455934351858,0.26025752218293413,0.09528654346520782,0.17050837280672493,0.8294916271932751,0.30569083994929613,0.6943091600507039
2019-10-27,24809,0.7186907976943852,0.20919827481962192,0.07211092748599299,0.09722278205489943,0.9027772179451006,0.24938530372042403,0.750614696279576
2019-10-28,71857,0.7094228815564245,0.2286068163157382,0.06197030212783723,0.06659058964331938,0.9334094103566807,0.26009992067578663,0.7399000793242134
2019-10-29,50966,0.7620374367225209,0.19216732723776636,0.04579523603971275,0.04638386375230546,0.9536161362476946,0.2403955578228623,0.7596044421771377
2019-10-30,65456,0.7336836959178685,0.21237166951845515,0.05394463456367636,0.054127963823026155,0.9458720361769738,0.2450501099975556,0.7549498900024444
2019-10-31,47282,0.731673787064845,0.21185652045175754,0.05646969248339749,0.05171101053254938,0.9482889894674507,0.2329639186159638,0.7670360813840362
2019-11-01,65798,0.7222711936533025,0.22081218274111675,0.05691662360558072,0.078041885771604,0.921958114228396,0.250083589166844,0.749916410833156
2019-11-02,52035,0.6633419813587009,0.24992793312193715,0.08673008551936197,0.1516671471125204,0.8483328528874796,0.29339867396944364,0.7066013260305564
2019-11-03,47047,0.6796182540863392,0.24027036792994239,0.08011137798371841,0.13815971262779772,0.8618402873722023,0.29030543924160945,0.7096945607583905
2019-11-04,65993,0.7261527737790372,0.2189323110026821,0.05491491521828073,0.0677647629294016,0.9322352370705984,0.25510281393481127,0.7448971860651887
2019-11-05,70077,0.737973942948471,0.21083950511580118,0.05118655193572784,0.058293020534554846,0.9417069794654451,0.25098106368708706,0.7490189363129129
2019-11-06,68973,0.7359256520667508,0.21190900787264583,0.05216534006060342,0.055427486117756226,0.9445725138822437,0.2542589129079495,0.7457410870920504
2019-11-07,53964,0.7571529167593211,0.1954265806834186,0.047420502557260394,0.05329478911867171,0.9467052108813283,0.24675709732414203,0.753242902675858
2019-11-08,48042,0.7745930644019816,0.18271512426626701,0.042691811331751386,0.04774988551683943,0.9522501144831605,0.24120561175637983,0.7587943882436201
2019-11-09,35022,0.7421049625949403,0.19984581120438583,0.05804922620067386,0.09331277482725144,0.9066872251727486,0.2752841071326595,0.7247158928673405
2019-11-10,38469,0.7110920481426604,0.2190335074995451,0.0698744443577946,0.11271413345810913,0.8872858665418909,0.28750422418050897,0.712495775819491
2019-11-11,61002,0.7114848693485459,0.22871381266187993,0.05980131798957411,0.06555522769745255,0.9344447723025474,0.2574833612012721,0.7425166387987279
2019-11-12,37834,0.8061267642860919,0.16072844531373898,0.03314479040016916,0.03422847174499128,0.9657715282550087,0.22527356346143682,0.7747264365385632
2019-11-13,42407,0.7907892564906737,0.1709859221354965,0.03822482137382979,0.029381941660574906,0.970618058339425,0.23224939278892637,0.7677506072110736
2019-11-14,52490,0.7709658982663364,0.18622594779958088,0.04280815393408268,0.04036959420842065,0.9596304057915793,0.23774052200419127,0.7622594779958087
2019-11-15,56538,0.7513176978315469,0.1991580883653472,0.04952421380310588,0.057129718065725706,0.9428702819342742,0.24311082811560367,0.7568891718843963
2019-11-16,34077,0.7576077706370866,0.19021627490682866,0.05217595445608475,0.0890923496786689,0.9109076503213311,0.2713853919065645,0.7286146080934355
2019-11-17,30005,0.7609731711381437,0.18770204965839027,0.05132477920346609,0.07425429095150808,0.925745709048492,0.266788868521913,0.7332111314780869
2019-11-18,34488,0.7810252841568082,0.17887381118070053,0.040100904662491305,0.03262004175365345,0.9673799582463466,0.23045697054047784,0.7695430294595221
2019-11-19,55399,0.7537500676907526,0.19763894655138178,0.04861098575786567,0.0376541092799509,0.9623458907200491,0.23821729634108918,0.7617827036589109
2019-11-20,55513,0.7605245618143498,0.1955217696755715,0.043953668510078724,0.037720894204961,0.962279105795039,0.2381424170914921,0.7618575829085079
2019-11-21,59964,0.7473650857180976,0.2042058568474418,0.04842905743446067,0.049346274431325464,0.9506537255686746,0.2404275898872657,0.7595724101127344
2019-11-22,48940,0.7655905190028607,0.18925214548426644,0.045157335512872904,0.045422966898242746,0.9545770331017572,0.23487944421740908,0.7651205557825909
2019-11-23,37044,0.7312925170068028,0.20899470899470898,0.05971277399848828,0.1000971817298348,0.8999028182701652,0.27353957455998273,0.7264604254400173
2019-11-24,17407,0.797552708680416,0.1576377319469179,0.04480955937266617,0.051875682196817374,0.9481243178031826,0.22881599356580687,0.7711840064341932
2019-11-25,56168,0.744427431989745,0.20342543797179888,0.05214713003845606,0.04596923515168779,0.9540307648483122,0.2415076199971514,0.7584923800028486
2019-11-26,60493,0.733093085150348,0.20961102937529963,0.0572958854743524,0.055246061527780076,0.9447539384722199,0.24554907179343063,0.7544509282065693
2019-11-27,48533,0.7459872663960604,0.2019862773782787,0.05202645622566089,0.06107184802093421,0.9389281519790658,0.2476047225599077,0.7523952774400923
2019-11-28,14432,0.73634977827051,0.1942211751662971,0.0694290465631929,0.1056679600886918,0.8943320399113082,0.2674611973392461,0.7325388026607539
2019-11-29,21459,0.7654131133790019,0.1832797427652733,0.05130714385572487,0.08127126147537164,0.9187287385246283,0.25341348618295356,0.7465865138170464
2019-11-30,24080,0.7425249169435216,0.19534883720930232,0.06212624584717608,0.09966777408637874,0.9003322259136213,0.2724252491694352,0.7275747508305648
2019-12-01,10251,0.8087991415471661,0.1437908496732026,0.04741000877963126,0.05238513315774071,0.9476148668422593,0.23617208077260754,0.7638279192273925
2019-12-02,17485,0.8029167858164141,0.15744924220760653,0.03963397197597941,0.022705175865027166,0.9772948241349728,0.2000571918787532,0.7999428081212467
2019-12-03,38044,0.7828829776048786,0.17771527704762907,0.03940174534749238,0.025128798233624225,0.9748712017663758,0.2204815476816318,0.7795184523183682
2019-12-04,45919,0.7704000522659465,0.1865676517345761,0.04303229599947734,0.030640911169668328,0.9693590888303316,0.22868529366928722,0.7713147063307128
2019-12-05,47425,0.769847127042699,0.18728518713758566,0.04286768581971534,0.028950975224037955,0.971049024775962,0.23023721665788086,0.7697627833421191
2019-12-06,49680,0.7671296296296296,0.18812399355877618,0.044746376811594206,0.04162640901771337,0.9583735909822866,0.23268921095008052,0.7673107890499195
2019-12-07,32387,0.7619415197455769,0.18803841047333808,0.050020069781085,0.07425819001451199,0.925741809985488,0.2606601414147652,0.7393398585852349
2019-12-08,30208,0.7638042902542372,0.18471927966101695,0.05147643008474576,0.06826006355932203,0.931739936440678,0.2669491525423729,0.7330508474576272
2019-12-09,14710,0.822093813732155,0.14031271244051666,0.03759347382732835,0.03813732154996601,0.961862678450034,0.21529571719918422,0.7847042828008157
2019-12-10,41097,0.7716378324451907,0.1856096552059761,0.042752512348833246,0.029612867119254448,0.9703871328807455,0.22833783487845827,0.7716621651215417
2019-12-11,36917,0.7939160820218327,0.16737546387843,0.03870845409973725,0.027981688652924126,0.9720183113470758,0.22033209632418668,0.7796679036758133
2019-12-12,43965,0.7830774479699761,0.1769134538837712,0.040009098146252704,0.03339019674741271,0.9666098032525873,0.2246787217104515,0.7753212782895484
2019-12-13,31841,0.7814767124148111,0.17697308501617412,0.041550202569014795,0.0405452090072548,0.9594547909927452,0.23196507647372885,0.7680349235262711
2019-12-14,28604,0.7573416305411831,0.19130191581596978,0.051356453642847154,0.07554887428331702,0.924451125716683,0.25374073556145993,0.7462592644385401
2019-12-15,31925,0.7680814408770557,0.18098668754894284,0.050931871574001565,0.07830853563038372,0.9216914643696162,0.26036021926389974,0.7396397807361003
2019-12-16,40416,0.7826850752177356,0.17772664291369755,0.0395882818685669,0.03397169437846397,0.9660283056215361,0.2252573238321457,0.7747426761678543
2019-12-17,18767,0.8133425694037406,0.14983748068417968,0.036819949912079715,0.031278307667714604,0.9687216923322854,0.20226994191932648,0.7977300580806735
2019-12-18,36821,0.7921023329078515,0.17115233154993076,0.036745335542217754,0.027402840770212652,0.9725971592297874,0.21533907281171072,0.7846609271882893
2019-12-19,28642,0.8178898121639551,0.14995461210809302,0.03215557572795196,0.024334892814747572,0.9756651071852525,0.1964597444312548,0.8035402555687452
2019-12-20,33113,0.8003503155860237,0.16232295473077038,0.037326729683205995,0.029595627095098602,0.9704043729049014,0.2126959200314076,0.7873040799685924
2019-12-21,23081,0.7870542870759499,0.1699666392270699,0.0429790736969802,0.049694553962133355,0.9503054460378666,0.24886270092283697,0.751137299077163
2019-12-22,22278,0.7592243468893078,0.1852500224436664,0.05552563066702577,0.0661190412065715,0.9338809587934285,0.26568812281174253,0.7343118771882575
2019-12-23,35268,0.7568617443574912,0.19124985822842236,0.05188839741408642,0.05597141884994896,0.9440285811500511,0.2283656572530339,0.7716343427469661
2019-12-24,24408,0.7733120288430023,0.17514749262536874,0.05154047853162897,0.06252048508685677,0.9374795149131432,0.2448377581120944,0.7551622418879056
2019-12-25,11008,0.6642441860465116,0.23601017441860464,0.09974563953488372,0.16315406976744187,0.8368459302325582,0.26925872093023256,0.7307412790697674
2019-12-26,23414,0.7587340907149569,0.18732382335354916,0.05394208593149398,0.07303322798325788,0.9269667720167422,0.2299478944221406,0.7700521055778594
2019-12-27,29297,0.7435232276342287,0.19967914803563505,0.056797624330136194,0.08546950199679149,0.9145304980032085,0.23640645799911253,0.7635935420008875
2019-12-28,25080,0.7012360446570973,0.2225677830940989,0.07619617224880383,0.1390749601275917,0.8609250398724083,0.2782695374800638,0.7217304625199362
2019-12-29,15938,0.7574978039904631,0.18421382858576985,0.0582883674237671,0.10616137532940143,0.8938386246705986,0.2807755050821935,0.7192244949178065
2019-12-30,11659,0.8090745346942276,0.1477828287160134,0.04314263658975898,0.040483746461960714,0.9595162535380393,0.20379106269834463,0.7962089373016554
2019-12-31,29132,0.7506522037621859,0.19329259920362488,0.05605519703418921,0.08657146780173006,0.9134285321982699,0.25017163256899627,0.7498283674310038
